r-al900,1543941558000,"338,2018,December,4,17,39,Tuesday",93584
r-al900,1543942458000,"338,2018,December,4,17,54,Tuesday",93891
r-al900,1543943358000,"338,2018,December,4,18,9,Tuesday",94131
r-al900,1543944258000,"338,2018,December,4,18,24,Tuesday",94354
r-al900,1543945158000,"338,2018,December,4,18,39,Tuesday",94663
r-al900,1543946058000,"338,2018,December,4,18,54,Tuesday",94865
r-al900,1543946958000,"338,2018,December,4,19,9,Tuesday",94995
r-al900,1543947858000,"338,2018,December,4,19,24,Tuesday",95101
r-al900,1543948758000,"338,2018,December,4,19,39,Tuesday",95190
r-al900,1543949658000,"338,2018,December,4,19,54,Tuesday",95309
r-al900,1543950558000,"338,2018,December,4,20,9,Tuesday",95362
r-al900,1543951458000,"338,2018,December,4,20,24,Tuesday",95452
r-al900,1543952358000,"338,2018,December,4,20,39,Tuesday",95551
r-al900,1543953258000,"338,2018,December,4,20,54,Tuesday",95564
r-al900,1543954158000,"338,2018,December,4,21,9,Tuesday",95530
r-al900,1543955058000,"338,2018,December,4,21,24,Tuesday",95425
r-al900,1543955958000,"338,2018,December,4,21,39,Tuesday",95297
r-al900,1543956858000,"338,2018,December,4,21,54,Tuesday",95139
r-al900,1543957758000,"338,2018,December,4,22,9,Tuesday",94892
r-al900,1543958658000,"338,2018,December,4,22,24,Tuesday",94625
r-al900,1543959558000,"338,2018,December,4,22,39,Tuesday",94297
r-al900,1543960458000,"338,2018,December,4,22,54,Tuesday",93877
r-al900,1543961358000,"338,2018,December,4,23,9,Tuesday",93469
r-al900,1543962258000,"338,2018,December,4,23,24,Tuesday",92953
r-al900,1543963158000,"338,2018,December,4,23,39,Tuesday",92436
r-al900,1543964058000,"338,2018,December,4,23,54,Tuesday",91851
r-al900,1543964958000,"339,2018,December,5,0,9,Wednesday",91307
r-al900,1543965858000,"339,2018,December,5,0,24,Wednesday",90784
r-al900,1543966758000,"339,2018,December,5,0,39,Wednesday",90411
r-al900,1543967658000,"339,2018,December,5,0,54,Wednesday",90077
r-al900,1543968558000,"339,2018,December,5,1,9,Wednesday",89831
r-al900,1543969458000,"339,2018,December,5,1,24,Wednesday",89586
r-al900,1543970358000,"339,2018,December,5,1,39,Wednesday",89370
r-al900,1543971258000,"339,2018,December,5,1,54,Wednesday",89185
r-al900,1543972158000,"339,2018,December,5,2,9,Wednesday",89064
r-al900,1543973058000,"339,2018,December,5,2,24,Wednesday",88939
r-al900,1543973958000,"339,2018,December,5,2,39,Wednesday",88835
r-al900,1543974858000,"339,2018,December,5,2,54,Wednesday",88745
r-al900,1543975758000,"339,2018,December,5,3,9,Wednesday",88723
r-al900,1543976658000,"339,2018,December,5,3,24,Wednesday",88692
r-al900,1543977558000,"339,2018,December,5,3,39,Wednesday",88600
r-al900,1543978458000,"339,2018,December,5,3,54,Wednesday",88560
r-al900,1543979358000,"339,2018,December,5,4,9,Wednesday",88529
r-al900,1543980258000,"339,2018,December,5,4,24,Wednesday",88542
r-al900,1543981158000,"339,2018,December,5,4,39,Wednesday",88510
r-al900,1543982058000,"339,2018,December,5,4,54,Wednesday",88484
r-al900,1543982958000,"339,2018,December,5,5,9,Wednesday",88537
r-al900,1543983858000,"339,2018,December,5,5,24,Wednesday",88555
r-al900,1543984758000,"339,2018,December,5,5,39,Wednesday",88531
r-al900,1543985658000,"339,2018,December,5,5,54,Wednesday",88601
r-al900,1543986558000,"339,2018,December,5,6,9,Wednesday",88756
r-al900,1543987458000,"339,2018,December,5,6,24,Wednesday",88935
r-al900,1543988358000,"339,2018,December,5,6,39,Wednesday",89182
r-al900,1543989258000,"339,2018,December,5,6,54,Wednesday",89415
r-al900,1543990158000,"339,2018,December,5,7,9,Wednesday",89715
r-al900,1543991058000,"339,2018,December,5,7,24,Wednesday",89963
r-al900,1543991958000,"339,2018,December,5,7,39,Wednesday",90061
r-al900,1543992858000,"339,2018,December,5,7,54,Wednesday",90119
r-al900,1543993758000,"339,2018,December,5,8,9,Wednesday",90230
r-al900,1543994658000,"339,2018,December,5,8,24,Wednesday",90330
r-al900,1543995558000,"339,2018,December,5,8,39,Wednesday",90429
r-al900,1543996458000,"339,2018,December,5,8,54,Wednesday",90578
r-al900,1543997358000,"339,2018,December,5,9,9,Wednesday",90674
r-al900,1543998258000,"339,2018,December,5,9,24,Wednesday",90742
r-al900,1543999158000,"339,2018,December,5,9,39,Wednesday",90744
r-al900,1544000058000,"339,2018,December,5,9,54,Wednesday",90660
r-al900,1544000958000,"339,2018,December,5,10,9,Wednesday",90641
r-al900,1544001858000,"339,2018,December,5,10,24,Wednesday",90619
r-al900,1544002758000,"339,2018,December,5,10,39,Wednesday",90640
r-al900,1544003658000,"339,2018,December,5,10,54,Wednesday",90655
r-al900,1544004558000,"339,2018,December,5,11,9,Wednesday",90731
r-al900,1544005458000,"339,2018,December,5,11,24,Wednesday",90739
r-al900,1544006358000,"339,2018,December,5,11,39,Wednesday",90945
r-al900,1544007258000,"339,2018,December,5,11,54,Wednesday",91112
r-al900,1544008158000,"339,2018,December,5,12,9,Wednesday",91287
r-al900,1544009058000,"339,2018,December,5,12,24,Wednesday",91576
r-al900,1544009958000,"339,2018,December,5,12,39,Wednesday",91861
r-al900,1544010858000,"339,2018,December,5,12,54,Wednesday",92126
r-al900,1544011758000,"339,2018,December,5,13,9,Wednesday",92202
r-al900,1544012658000,"339,2018,December,5,13,24,Wednesday",92323
r-al900,1544013558000,"339,2018,December,5,13,39,Wednesday",92373
r-al900,1544014458000,"339,2018,December,5,13,54,Wednesday",92403
r-al900,1544015358000,"339,2018,December,5,14,9,Wednesday",92436
r-al900,1544016258000,"339,2018,December,5,14,24,Wednesday",92517
r-al900,1544017158000,"339,2018,December,5,14,39,Wednesday",92581
r-al900,1544018058000,"339,2018,December,5,14,54,Wednesday",92633
r-al900,1544018958000,"339,2018,December,5,15,9,Wednesday",92668
r-al900,1544019858000,"339,2018,December,5,15,24,Wednesday",92722
r-al900,1544020758000,"339,2018,December,5,15,39,Wednesday",92728
r-al900,1544021658000,"339,2018,December,5,15,54,Wednesday",92717
r-al900,1544022558000,"339,2018,December,5,16,9,Wednesday",92761
r-al900,1544023458000,"339,2018,December,5,16,24,Wednesday",92783
r-al900,1544024358000,"339,2018,December,5,16,39,Wednesday",92864
r-al900,1544025258000,"339,2018,December,5,16,54,Wednesday",93036
r-al900,1544026158000,"339,2018,December,5,17,9,Wednesday",93178
r-al900,1544027058000,"339,2018,December,5,17,24,Wednesday",93430
r-al900,1544027958000,"339,2018,December,5,17,39,Wednesday",93678
r-al900,1544028858000,"339,2018,December,5,17,54,Wednesday",93845
r-al900,1544029758000,"339,2018,December,5,18,9,Wednesday",94063
r-al900,1544030658000,"339,2018,December,5,18,24,Wednesday",94273
r-al900,1544031558000,"339,2018,December,5,18,39,Wednesday",94580
r-al900,1544032458000,"339,2018,December,5,18,54,Wednesday",94727
r-al900,1544033358000,"339,2018,December,5,19,9,Wednesday",94834
r-al900,1544034258000,"339,2018,December,5,19,24,Wednesday",94988
r-al900,1544035158000,"339,2018,December,5,19,39,Wednesday",95086
r-al900,1544036058000,"339,2018,December,5,19,54,Wednesday",95171
r-al900,1544036958000,"339,2018,December,5,20,9,Wednesday",95304
r-al900,1544037858000,"339,2018,December,5,20,24,Wednesday",95415
r-al900,1544038758000,"339,2018,December,5,20,39,Wednesday",95467
r-al900,1544039658000,"339,2018,December,5,20,54,Wednesday",95546
r-al900,1544040558000,"339,2018,December,5,21,9,Wednesday",95501
r-al900,1544041458000,"339,2018,December,5,21,24,Wednesday",95450
r-al900,1544042358000,"339,2018,December,5,21,39,Wednesday",95351
r-al900,1544043258000,"339,2018,December,5,21,54,Wednesday",95138
r-al900,1544044158000,"339,2018,December,5,22,9,Wednesday",94951
r-al900,1544045058000,"339,2018,December,5,22,24,Wednesday",94702
r-al900,1544045958000,"339,2018,December,5,22,39,Wednesday",94335
r-al900,1544046858000,"339,2018,December,5,22,54,Wednesday",93938
r-al900,1544047758000,"339,2018,December,5,23,9,Wednesday",93474
r-al900,1544048658000,"339,2018,December,5,23,24,Wednesday",93031
r-al900,1544049558000,"339,2018,December,5,23,39,Wednesday",92402
r-al900,1544050458000,"339,2018,December,5,23,54,Wednesday",91841
r-al900,1544051358000,"340,2018,December,6,0,9,Thursday",91285
r-al900,1544052258000,"340,2018,December,6,0,24,Thursday",90819
r-al900,1544053158000,"340,2018,December,6,0,39,Thursday",90486
r-al900,1544054058000,"340,2018,December,6,0,54,Thursday",90172
r-al900,1544054958000,"340,2018,December,6,1,9,Thursday",89872
r-al900,1544055858000,"340,2018,December,6,1,24,Thursday",89636
r-al900,1544056758000,"340,2018,December,6,1,39,Thursday",89384
r-al900,1544057658000,"340,2018,December,6,1,54,Thursday",89242
r-al900,1544058558000,"340,2018,December,6,2,9,Thursday",89090
r-al900,1544059458000,"340,2018,December,6,2,24,Thursday",88980
r-al900,1544060358000,"340,2018,December,6,2,39,Thursday",88896
r-al900,1544061258000,"340,2018,December,6,2,54,Thursday",88812
r-al900,1544062158000,"340,2018,December,6,3,9,Thursday",88787
r-al900,1544063058000,"340,2018,December,6,3,24,Thursday",88729
r-al900,1544063958000,"340,2018,December,6,3,39,Thursday",88693
r-al900,1544064858000,"340,2018,December,6,3,54,Thursday",88650
r-al900,1544065758000,"340,2018,December,6,4,9,Thursday",88608
r-al900,1544066658000,"340,2018,December,6,4,24,Thursday",88594
r-al900,1544067558000,"340,2018,December,6,4,39,Thursday",88584
r-al900,1544068458000,"340,2018,December,6,4,54,Thursday",88565
r-al900,1544069358000,"340,2018,December,6,5,9,Thursday",88563
r-al900,1544070258000,"340,2018,December,6,5,24,Thursday",88597
r-al900,1544071158000,"340,2018,December,6,5,39,Thursday",88611
r-al900,1544072058000,"340,2018,December,6,5,54,Thursday",88683
r-al900,1544072958000,"340,2018,December,6,6,9,Thursday",88848
